Source;Target;Id;linkname
76;5181;613.0;76->5181
77;82;614.0;77->82
77;86;615.0;77->86
77;1308;616.0;77->1308
77;1747;617.0;77->1747
77;1903;618.0;77->1903
77;1948;619.0;77->1948
77;2014;620.0;77->2014
77;2106;621.0;77->2106
77;2199;622.0;77->2199
77;2238;623.0;77->2238
77;2311;624.0;77->2311
77;2438;625.0;77->2438
77;2472;626.0;77->2472
77;2487;627.0;77->2487
77;2563;628.0;77->2563
77;2778;629.0;77->2778
77;3343;630.0;77->3343
77;3821;631.0;77->3821
77;4133;632.0;77->4133
77;4275;633.0;77->4275
77;4408;634.0;77->4408
77;5236;635.0;77->5236
77;5714;636.0;77->5714
77;5730;637.0;77->5730
77;6256;638.0;77->6256
77;6457;639.0;77->6457
77;7058;640.0;77->7058
77;7306;641.0;77->7306
77;7534;642.0;77->7534
77;8027;643.0;77->8027
77;8284;644.0;77->8284
77;10560;645.0;77->10560
78;1666;646.0;78->1666
78;4219;647.0;78->4219
78;5014;648.0;78->5014
78;7107;649.0;78->7107
78;10951;650.0;78->10951
79;3732;651.0;79->3732
79;6780;652.0;79->6780
79;7169;653.0;79->7169
79;10836;654.0;79->10836
79;11157;655.0;79->11157
81;75;656.0;81->75
81;104;657.0;81->104
81;1140;658.0;81->1140
81;1197;659.0;81->1197
81;1462;660.0;81->1462
81;2086;661.0;81->2086
81;3267;662.0;81->3267
82;1518;663.0;82->1518
82;1640;664.0;82->1640
82;2092;665.0;82->2092
82;2274;666.0;82->2274
82;2310;667.0;82->2310
82;2649;668.0;82->2649
82;3472;669.0;82->3472
82;3568;670.0;82->3568
82;3631;671.0;82->3631
82;4160;672.0;82->4160
82;6687;673.0;82->6687
82;7018;674.0;82->7018
82;7833;675.0;82->7833
84;2031;676.0;84->2031
84;2162;677.0;84->2162
84;2301;678.0;84->2301
84;9033;679.0;84->9033
84;10069;680.0;84->10069
85;1714;681.0;85->1714
86;77;682.0;86->77
86;82;683.0;86->82
86;410;684.0;86->410
86;543;685.0;86->543
86;815;686.0;86->815
86;927;687.0;86->927
86;1260;688.0;86->1260
86;1308;689.0;86->1308
86;1423;690.0;86->1423
86;1747;691.0;86->1747
86;1903;692.0;86->1903
86;1984;693.0;86->1984
86;2014;694.0;86->2014
86;2042;695.0;86->2042
86;2061;696.0;86->2061
86;2147;697.0;86->2147
86;2189;698.0;86->2189
86;2199;699.0;86->2199
86;2213;700.0;86->2213
86;2238;701.0;86->2238
86;2266;702.0;86->2266
86;2274;703.0;86->2274
86;2431;704.0;86->2431
86;2459;705.0;86->2459
86;2573;706.0;86->2573
86;2649;707.0;86->2649
86;2659;708.0;86->2659
86;2778;709.0;86->2778
86;3106;710.0;86->3106
86;3237;711.0;86->3237
86;3343;712.0;86->3343
86;3806;713.0;86->3806
86;3821;714.0;86->3821
86;5035;715.0;86->5035
86;7003;716.0;86->7003
86;7058;717.0;86->7058
86;7415;718.0;86->7415
86;7972;719.0;86->7972
86;8202;720.0;86->8202
86;9017;721.0;86->9017
86;9465;722.0;86->9465
86;10469;723.0;86->10469
86;10560;724.0;86->10560
86;10582;725.0;86->10582
86;10828;726.0;86->10828
87;73;727.0;87->73
87;2738;728.0;87->2738
87;3007;729.0;87->3007
87;4603;730.0;87->4603
88;1775;731.0;88->1775
88;1886;732.0;88->1886
88;2083;733.0;88->2083
88;2103;734.0;88->2103
88;2234;735.0;88->2234
88;2298;736.0;88->2298
88;2380;737.0;88->2380
88;2776;738.0;88->2776
88;3712;739.0;88->3712
88;4163;740.0;88->4163
88;6786;741.0;88->6786
90;104;742.0;90->104
90;1197;743.0;90->1197
90;5393;744.0;90->5393
90;5786;745.0;90->5786
90;5821;746.0;90->5821
90;9887;747.0;90->9887
91;93;748.0;91->93
92;90;749.0;92->90
92;93;750.0;92->93
92;1056;751.0;92->1056
92;5786;752.0;92->5786
92;6138;753.0;92->6138
92;9739;754.0;92->9739
92;9870;755.0;92->9870
93;90;756.0;93->90
93;92;757.0;93->92
93;1526;758.0;93->1526
94;4753;759.0;94->4753
94;7573;760.0;94->7573
94;7868;761.0;94->7868
96;172;762.0;96->172
96;5148;763.0;96->5148
96;8152;764.0;96->8152
97;104;765.0;97->104
97;118;766.0;97->118
97;177;767.0;97->177
97;1187;768.0;97->1187
